,backside,Kanji,Keyword,Meaning,Alternative Meaning,On readings,Kun readings,Emphasis***,dummy_kana,Level,ONmem,KUNmem,MEANINGmem,Common words,KUNexample,Extra words,Old level,Nanori,Example,Components,No of strokes,Radical,Traditional form,Classification,Koohi Story 1,Koohi Story 2,RTK index (new),Tag,waniplus_level,waniplus_id,waniplus_srs
貪,ドン　タン　むさぼ.る　greed,貪,"covet, indulge in","covet, indulge in",,ドン、トン、タン,むさぼ.る,onyomi,,66,,,,"貪欲　どんよく
貪婪　どんらん
貪る　むさぼる",,,,,,今: now<br>貝: shellfish,11,貝,(none),会意 Compound Ideographic,"Whatever you covet at the moment (now), can be bought with money. Well, _almost_ anything....",One begins one's life coveting money. One ends one's life coveting time -- those precious seconds ticking away on the clock. Remember to always put time over money (in this kanji and in life).,1713,JLPT.N0 gradeS,-1,,
貶,"ヘン　けな.す　おとし.める　degrade, look down on",貶,degrade,degrade,,ヘン,けな.す、 おとし.める、 おと.す,kunyomi,,66,,,,"ヘン        褒貶【ほうへん】praise and censure; criticism
毀誉褒貶【きよほうへん】praise and censure; public criticisms
おとしめる        貶める【おとしめる】to show contempt for; to cause to fall",,,,,,,,,,,,,,,-1,,
賑,"シン　にぎ.やか　にぎ.わい　bustling, prosper",賑,bustling,"flourish, be bustling, prosperity",,シン,にぎ.やか、 にぎ.わい、 にぎ.わす、 にぎ.わう,kunyomi,,66,,,,シン        殷賑【いんしん】prosperity,,,,,賑やか(にぎやか): bustling; busy<br>賑わう(にぎわう): to prosper; to flourish; to do thriving business; to be crowded with people,貝: shellfish<br>辰: sign of the dragon; 7-9AM; fifth sign of Chinese zodiac; shin dragon radical (no. 161),,,(none),,Bruce Lee has money because he is always bustling about.,Bruce Lee made his clams in the bustling city of Hong Kong.,2767,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
賦,"フ　tribute, installment",賦,levy,"levy, ode, prose, poem, tribute, installment",,フ、 ブ,,onyomi,,66,,,,,,,,うた,月賦(げっぷ): monthly installment (instalment); monthly payment,貝: shellfish<br>武: warrior; military; chivalry; arms,15,貝,(none),形声 Phonetic,A warrior stands guard at a bridge collecting shells as a levy for any who want to pass.,"Drove my Chevy to the levy but the levy was dry. And those good old warrior boys, drinking whiskey and rye, said pay up the clams or you´ll die. Pay up the clams or you´ll die....",404,JLPT.N1 gradeS Kanji_Human.Activities_Money.Commerce,-1,,
贔,ヒ　partiality,贔,"strength, power","strength, power",,ヒ,,onyomi,,66,,,,,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,-1,,
跨,コ　また.ぐ　straddle,跨,straddle,"be, sit or stand astride, extend over, straddle",,コ,また.がる、 またが.る、 また.ぐ,kunyomi,,66,,,,コ        跨線橋【こせんきょう】overpass,,,,,跨ぐ(またぐ): to straddle<br>跨がる(またがる): (1) to extend over or into (2) to straddle,足: leg; foot; be sufficient; counter for pairs of footwear<br>夸: boast,,,(none),,The amputee boasts about how the ladies just love to straddle his wooden leg.,Same right side as boast (#1244). The big one that got away (so big you couldn't straddle it) took your leg with it. コ カ また.がる またが.る また.ぐ be; sit or stand astride; extend over; straddle.,2772,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
跪,キ　ひざまずく　kneel,跪,kneel,kneel,,キ,ひざまず.く,kunyomi,,66,,,,"キ        跪座【きざ】kneeling with the balls of the feet on the floor and sitting on one's heels
長跪【ちょうき】way of sitting by placing both knees on the ground and standing upright",,,,,,足: leg; foot; be sufficient; counter for pairs of footwear<br>危: dangerous; fear; uneasy,,,(none),,It's dangerous to kneel with a wooden leg. It might fall off.,It's dangerous to kneel before a pirate with a peg leg: They might take offense.,2773,JLPT.N0 ShouldSuspend gradeS+,-1,,
踉,"ロウ　よろ.めく　おど.る　unsteady on feet, stagger",踉,"stagger, falter","stagger, falter",,ロウ、 リョウ,,onyomi,,66,,,,"よろめくcommon 【蹌踉めく】to stagger; to misconduct oneself; 
そうろう 【蹌踉】tottering;  staggering;  reeling;  → よろよろ  /  よろける",,,,,,,,,,,,,,,-1,,
蹌,"ソウ　よろめく　はしる　unsteady on feet, stagger",蹌,"move, stagger","move, stagger",,ソウ、 ショウ,,onyomi,,66,,,,"よろめくcommon 【蹌踉めく】to stagger; to misconduct oneself; 
そうろう 【蹌踉】tottering;  staggering;  reeling;  → よろよろ  /  よろける",,,,,,,,,,,,,,,-1,,
蹲,ソン　うずくま.る　つくば.う　crouch,蹲,"crouch, squat, cower","crouch, squat, cower",,ソン,うずくま.る、つくば.う,kunyomi,,66,,,,ソン        蹲踞【そんきょ】crouching; formal crouch performed at the beginning of a sumo or kendo match,,,,,,,,,,,,,,,-1,,
蹴,シュウ　け.る　kick,蹴,kick,kick,,シュウ,け.る,kunyomi,,66,,,,"シュウ        一蹴【いっしゅう】kicking; rejecting; defeating handily
蹴球【しゅうきゅう】football (incl. soccer, rugby, American football, etc.; esp. used for soccer)",,,,,蹴る(ける): (1) to kick (2) to refuse; to reject<br>蹴飛ばす(けとばす): to kick away; to kick off; to kick (someone); to refuse; to reject,足: leg; foot; be sufficient; counter for pairs of footwear<br>就: concerning; settle; take position; depart; study; per,19,足,(none),形声 Phonetic,The soccer player was concerned that his peg leg would affect his ability to kick.,"I kick with my FEET in the CAPITAL of all the ONE LEGGED CHIHUAHUAS. It is such a great fun, since they cannot kick me back! lol.",2122,JLPT.N0 gradeS kanjifreq2001-2500,-1,,
躇,チョ　ためら.う　hesitate,躇,dither,hesitate,,チョ、 チャク,ためら.う,onyomi,,66,,,,"ためらうcommon 【躊躇う】to hesitate
ちゅうちょcommon 【躊躇】hesitation;  indecision;  vacillation",,,,,躊躇う(ためらう): to hesitate,足: leg; foot; be sufficient; counter for pairs of footwear<br>著: renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work,,,(none),,People with wooden legs are renowned for dithering over whether to decorate them with a drop of paint or not.,"""Make the story as you need, but 躊hesitate (#2996) and this kanji 躇dither (#2994) mean the same thing and are used as a unit exclusively..... 躊躇(ちゅうちょ)する= 躊躇う(ためらう)= hesitate, falter, waver. (Heisig RTK2 error: 躊躇 does not mean 'warning') My stupid suggestion for a story: Give flowers to your Peg-Legged love doll. If you diddle (I mean dither) her, maybe she will get a little wet, at least a drop worth.""",2995,JLPT.N0 ShouldSuspend gradeS+,-1,,
躊,チュウ　ためら.う　hesitate,躊,hesitate,hesitate,,チュウ、 チュ、 シュウ、 ジュ,ためら.う,onyomi,,66,,,,"ためらうcommon 【躊躇う】to hesitate
ちゅうちょcommon 【躊躇】hesitation;  indecision;  vacillation",,,,,躊躇う(ためらう): to hesitate,足: leg; foot; be sufficient; counter for pairs of footwear<br>壽: longevity; congratulations,,,(none),,I hesitate to have a wooden leg fitted as I'm not sure how it will affect my longevity.,"""The man suffering from gangrene hesitated a bit, but knew he'd have to choose the peg leg if he wanted longevity.""",2997,JLPT.N0 ShouldSuspend gradeS+,-1,,
躱,"かわ.す　dodge, avoid",躱,"dodge, parry, avoid","dodge, parry, avoid",,,か.わす、かわ.す,kunyomi,,66,,,,,,,,,,,,,,,,,,,-1,,
躾,"しつけ　しつ.ける　discipline, training",躾,upbringing,"training, (kokuji)",,,しつけ、しつ.ける,kunyomi,,66,,,,,,,,,躾(しつけ): discipline; training; teaching manners<br>躾ける(しつける): to train; to discipline; to teach manners,身: somebody; person; one's station in life<br>美: beauty; beautiful,,,(none),,"""With the right upbringing, you might become somebody beautiful.""","""Guys don't care about what kind of upbringing the woman had, they just want somebody with a beautiful body.""",2949,JLPT.N0 ShouldSuspend gradeS+,-1,,
輿,"ヨ　こし　palanquin, vehicle",輿,palanquin,"palanquin, bier",,ヨ,こし、かご,kunyomi,,66,,,,"ヨ        輿論【よろん】public opinion
神輿【しんよ】portable shrine (carried in festivals); palanquin; buttocks
輿地【よち】earth; world
かご        輿【かご】palanquin; litter; bier
こし        御輿【みこし】portable shrine (carried in festivals); palanquin; buttocks
お神輿【おみこし】portable shrine (carried in festivals); buttocks",,,,,,臼: mortar<br>車: car<br>八: eight; eight radical (no. 12),,,(none),,"""I hop into my palanquin, my car of sorts, such that I may be transported to my next location of entertainment.""",A palanquin is a car used for the entertainment of royalty when they want to take a joyride.,2874,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
辻,つじ　crossroad,辻,crossing,"crossing, crossroad, street corners, (kokuji)",,,つじ,kunyomi,,66,,,,,,,,,辻褄(つじつま): coherence; consistency,十: ten<br>辶: walk; walking; road radical variant (no. 162),,,(none),,Cross-road.,"This kanji appears in the remarkable compound, 辻斬り 【つじぎり】 (n): killing a passerby in order to test a new sword. Imagine a cross by the road, at a busy crossing, marking the spot of the unfortunate passerby´s death.",297,JLPT.N0 Kanji_Structure.Town.Building ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,-1,,
辿,"たど.る　follow, pursue",辿,track down,"follow (road), pursue",,,たど.る、 たどり,kunyomi,,66,,,,,,,,,辿る(たどる): to follow (road); to pursue (course); to follow up; to follow (hyperlink),山: mountain<br>辶: walk; walking; road radical variant (no. 162),,,(none),,"""When you're following someone along a road high atop a mountain, it is easy to track them down, since all tracks lead down.""","""Despite travelling all the mountain roads and paths, no one could track down the Yeti.""",2493,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
迦,カ　Sanskrit ka,迦,Sanskrit ka,"(used phonetically), buddha",,カ、 ケ,,onyomi,,66,,,,"しゃかcommon 【釈迦】the Buddha (Siddhartha Gautama, 563 BCE-483 BCE);  Shakyamuni;  Sakyamuni  —From Sanskrit 'Sakya'. 例文
ばかcommon【馬鹿 · 莫迦outdated · 破家】fool;  idiot ",,,,,,加: add; addition; increase; join; include; Canada<br>辶: walk; walking; road radical variant (no. 162),,,(none),,You wanna drive a Sanskrit ka? Just add it to the road.,"""Ford didn't know what to call their next car, and it was ready to be released. A quick-witted Indian employee thought to himself, """"why don't they just call it the 'car', so they can get this show on the road?"""" He raised his hand at the meeting and said, """"I propose we call it the Ford Ka. No, not like 'car', the Sanskrit ka invokes a sense of reliability, safety, performance and beauty. Add to that the fact that nobody will forget its name, because it's homophonous with the actual product!""",2966,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,-1,,
這,"は.う　シャ　crawl, this",這,crawl,"crawl, creep, grovel, trail (vines)",,,は.う、 は.い、 むか.える、 この,kunyomi,,66,,,,,,,,,這う(はう): to creep; to crawl,言: say<br>辶: walk; walking; road radical variant (no. 162),,,(none),,Some of those amateur marathon runners at the end seem merely to crawl on the road instead of running. They truly need words of encouragement.,"""There are words written on the road, but you have to crawl along to read them: 'If...you...can...read...this...you...look...silly...'.""",2494,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
逞,"テイ　たくま.しい　sturdy, outlawry",逞,tough,"sturdy, brawny, bold",,テイ,たくま.しい,kunyomi,,66,,,,"テイ        不逞【ふてい】insubordination; outlawry
不逞の輩【ふていのやから】lawless people; gang; malcontents; recalcitrants",,,,,"逞しい(たくましい): (1) burly; strong; sturdy (2) indomitable; indefatigable; strong-willed; resolute; bold (3) robust (vitality, appetite, economic growth, etc.); strong",呈: display; offer; present; send; exhibit<br>辶: walk; walking; road radical variant (no. 162),,,(none),,Tough guys like to display there force on the road.,An especially TOUGH form of discipline was used in old Japan. Criminals would be tied up or crucified on posts and put on DISPLAY and their blood would DROP onto the ROAD.,2977,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
遡,ソ　サク　さかのぼ.る　go upstream,遡,go upstream,"go upstream, retrace the past",,ソ、サク,さかのぼ.る,kunyomi,,67,,,,"ソ        遡及的【そきゅうてき】retroactive
遡上【そじょう】going upstream; retroact; retrospect
遡行【そこう】going upstream; sailing against the current
サク        遡源【さくげん】returning to the origin; going back to the beginning; retracing",,,,,遡る(さかのぼる): to go back; to go upstream; to make retroactive,朔: conjunction (astronomy); first day of month<br>辶: walk; walking; road radical variant (no. 162),14,辵,(none),形声 Phonetic,"You decide to go salmon fishing, so you ride a mountain goat to the top of the road. Under the light of the moon, as it's illegal, you catch the salmon going upstream.","In this kanji we see a mountain goat that decided to go upstream along a road, but for some reason it will only go upstream when the full moon is up. It's actually stubborn like a mountain goat about not going upstream along the road at any other period of time. The road itself is also very confused about this.",2111,JLPT.N0 gradeS,-1,,
遽,"キョ　あわ.ただしい　fluster, fear",遽,"fear, agitation, confusion, hurry","fear, agitation, confusion, hurry",,キョ,あわただ.しい、 あわ.てる、 すみやか、 にわか,onyomi,,67,,,,"きゅうきょcommon 【急遽 · 急きょ · 急拠irregular】hurriedly;  in a hurry
あわただしいcommon 【慌ただしい · 慌しい · 遽しい】busy;  hurried;  confused;  flurried 例文",,,,,,,,,,,,,,,-1,,
醒,"セイ　さ.める　awaken, disillusion",醒,awakening,"awake, be disillusioned, sober up",,セイ,,onyomi,,67,,,,"かくせいざいcommon 【覚醒剤 · 覚せい剤】stimulant (e.g. psychoactive drugs like methamphetamine, ritalin, etc.)
さめるcommon 【覚める · 醒める】to wake;  to wake up",,,,,,酉: west; bird; sign of the bird; 5-7PM; tenth sign of Chinese zodiac; sake radical (no. 164)<br>星: star; spot; dot; mark,16,酉,(none),形声 Phonetic,On awakening the first thing I notice is a (nearly empty) whiskey bottle by my bed. Then I see the stars are still shining. “I think I’ll go back to sleep and try awakening again later.”.,You´ll need an awakening after the whiskey bottle makes you see stars.,1677,JLPT.N0 gradeS,-1,,
釘,テイ　くぎ　nail,釘,nail,"nail, tack, peg",,,くぎ,kunyomi,,67,,,,"金釘　かなくぎ
装釘　そうてい",,,,,釘(くぎ): nail (i.e. small metal spike),"金: gold<br>丁: street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign",,,(none),,A nail is a metal spike.,"""A nail is a metal, well, nail.""",2788,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,-1,,
銜,"くわえる　くつわ　カン　ガン　hold in mouth, horse's biting part",銜,horse's bit,horse's bit,,,くわ.える、くつわ,kunyomi,,67,,,,"くつわ        銜【くつわ】bit (i.e. attached to a bridle)
くわえる        銜える【くわえる】to hold in one's mouth
指を銜える【ゆびをくわえる】to look on enviously while doing nothing",,,,,,,,,,,,,,,-1,,
鋸,のこぎり　のこ　キョ　handsaw,鋸,handsaw,saw (cuts wood),,,のこぎり、のこ,kunyomi,,67,,,,"鋸　ノコギリ
鋸　ノコ",,,,,鋸(のこぎり): (1) saw (2) musical saw,金: gold<br>居: reside; to be; exist; live with,,,(none),,A handsaw is a piece of metal that helps you fix up the place you reside in.,"""Metal, reside: In that mansion resides a creepy man. In the last year, a few people have gone missing, so at one night we decided to sneak into his toolshed. There we found a metal handsaw and other equipment, all covered with bloodstains...""",2782,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
錆,"さび　さ.びる　くわ.しい　rust, detailed",錆,rust,tarnish,,,さび、 さ.びる、くわ.しい,kunyomi,,67,,,,"錆びる　さびる
錆しい　精しい　くわしい",,,,,錆(さび): rust<br>錆びる(さびる): to rust; to become rusty,金: gold<br>青: blue; green,,,(none),,"""The easiest place to spot rust is when it grows on blue metal. All of my cars have been blue, and as soon as the first red rust appears, its off to the scrapheap.""",The blue oxidation that forms on metals like copper is a form of rust.,2793,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
錨,ビョウ　いかり　anchor,錨,anchor,"anchor, grapnel",,,いかり,kunyomi,,67,,,,投錨　とうびょう,,,,,,金: gold<br>苗: seedling; sapling; shoot,,,(none),,An anchor is metal planted like a seedling.,"""""""The golden city of Ankor Wat"""" was misunderstood as """"The golden seedling of anchor cat (#244)"""".""",2787,JLPT.N0 ShouldSuspend gradeS+,-1,,
閃,セン　ひらめ.く　flash,閃,flash,"flash, brandish",,セン,ひらめ.く、 ひらめ.き、 うかが.う,kunyomi,,67,,,,"セン        一閃【いっせん】flash; brandish
閃光【せんこう】flash; glint",,,,,,門: gate; counter for cannons<br>人: person,,,(none),,"""The lesbians flash a person with their """"gates"""".""","""The flasher hung out by the gates. Whenever someone emerged, the flasher opened his cloak, flashed the unsuspecting person, and ran off in a flash!""",2796,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
閏,うるう　ジュン　intercalation,閏,"intercalation, illegitimate throne","intercalation, illegitimate throne",,ジュン,うるう,kunyomi,,67,,,,"ジュン        正閏【せいじゅん】normal and leap (years); legitimate and illegitimate dynasties
閏年【じゅんねん】leap year
うるう        閏年【うるうどし】leap year
閏月【うるうづき】intercalary month
閏日【うるうび】leap day",,,,,,門: gate; counter for cannons<br>玉: jewel; ball,,,(none),,,,,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,-1,,
隈,ワイ　くま　すみ　nook and cranny,隈,nook,"corner, nook, recess",,ワイ,くま、 すみ,kunyomi,,67,,,,"くまなくcommon 【隈なく · 隈無く】all over;  everywhere;  in every nook and cranny 例文
すみずみcommon · くまぐま 【隅々 · 隈隈】nooks;  corners 例文
かいわいcommon 【界隈】neighborhood;  neighbourhood;  vicinity 例文",,,,,,阜: hill; mound; left village radical (no. 170)<br>畏: fear; majestic; graciously; be apprehensive,,,(none),,Those apprehensive when they reach the pinnacle often find a nook to hide in.,"""On the pinnacle of the secret government organisation, every nook and cranny of the pinnacle is under government control, even the ricefields. You can't even drop a hairpin there without being noticed.""",2505,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,-1,,
雀,ジャク　ジャン　すずめ　sparrow,雀,sparrow,sparrow,,ジャン、 ジャク,すずめ,kunyomi,,67,,,,"すずめcommon【雀】tree sparrow (Passer montanus) 例文
ひばりcommon 【雲雀 · 告天子】skylark (Alauda arvensis)
まあじゃんcommon· マージャンcommon 【麻雀】mah-jongg;  mahjong  —From Chinese. 例文
きんしじゃく · カナリアcommon 【金糸雀】canary (esp. the island canary, Serinus canaria)  —Usually written using kana alone. 
くじゃくcommon【孔雀】peafowl (inc. the male peacock, female peahen, and young peachick)",,,,ざく,,少: few; little<br>隹: bird; old bird radical (no. 172),,,(none),,There are relatively few turkeys compared to the widely familiar sparrow.,"""There are few turkeys available this Christmas/Thanksgiving, so we're having to make do with sparrow.""",2890,JLPT.N0 Kanji_Nature_Animal_Bird ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,11,,
雛,ひな　ひよこ　スウ　chick,雛,chick,"chick, squab, duckling, doll",,,ひな、 ひよこ,kunyomi,,67,,,,"ひなcommon · ひよこcommon 【雛】young bird;  chick 例文
ひなまつりcommon 【雛祭 · 雛祭り · ひな祭り】Girls' Festival (March 3rd);  Dolls' Festival;",,,,,雛(ひな): (1) young bird; chick (2) doll (3) green; wet behind the ears; juvenile<br>雛祭(ひなまつり): Girls' Festival (March 3rd); Dolls' Festival,芻: grass cutting; hay<br>隹: bird; old bird radical (no. 172),,,(none),,"""A young chick milling about in the hay looks up and sees a huge turkey looking down on it. Turkey leans down and says: """"Boy, you got no hope of leavin this place alive..."""".""",The chick got lost in the hay. Now mama turkey is throwing the stuff all over looking for her chick.,2230,JLPT.N1 ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,11,,
霞,"カ　かす.む　haze, mist, daybreak",霞,haze,"be hazy, grow dim, blurred",,,かすみ、 かす.む,kunyomi,,67,,,,"煙霞　えんか
雲霞　うんか
霞む　かすむ",,,,,霞む(かすむ): (1) to grow hazy; to be misty (2) to get blurry (3) to be overshadowed,雨: rain<br>又: or again; furthermore; on the other hand,,,(none),,Jimi Hendrix works as a weather forcaster in his spare time. Today he predicts a (purple) haze.,What a coincidence that work should give me time off only days that have rain or haze but no sun.,2800,JLPT.N1 Kanji_Nature_Weather ShouldSuspend gradeS+ jinmeiyou kanjifreq1501-2000,11,,
靡,"ビ　なび.く　flutter, wave, obey",靡,"flutter, wave, bow to, obey, seduce","flutter, wave, bow to, obey, seduce",,ビ,なび.く、 ない、 わ.ける,kunyomi,,67,,,,"ビ        風靡【ふうび】overwhelming; conquering; dominating
萎靡【いび】decline; decay",,,,,,,,,,,,,,,11,,
鞄,かばん　suitcase,鞄,briefcase,"suitcase, bag, briefcase",,,かばん,kunyomi,,67,,,,,,,,,鞄(かばん): bag; satchel; briefcase; basket,革: leather; become serious; skin; hide; pelt<br>包: wrap; pack up; cover; conceal,,,(none),,The first briefcase was a piece of leather used to wrap documents.,The businessman likes to make out he's important but the only thing his leather briefcase keeps wrapped up his the lunch his wife made.,2806,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,11,,
頓,"トン　とみに　にわかに　 つまずく　suddenly, be in order, standstill",頓,immediate,"suddenly, immediately, in a hurry, arrange, stay in place, bow, kowtow",,トン、 トツ,にわか.に    とん.と    つまず.く    とみ.に    ぬかずく,onyomi,,67,,,,"ひたすらcommon 【只管 · 一向 · 頓】nothing but;  earnest;  intent;  determined;  set on (something); 
やがてcommon 【軈て · 頓て】before long;  soon;
せいとんcommon 【整頓】orderliness;  put in order;  tidying up;  arranging neatly 例文",,,,,,屯: barracks; police station; camp<br>頁: page; leaf,13,頁,(none),形声 Phonetic,Ever chopped the head off an earthworm? Notice how it will grow back immediately! Beware the killer earthworms...,"When someone in the barracks tells you to come immediately, you´ll lose your head for sure トン トツ にわか.に とん.と つまず.く とみ.に ぬかずく suddenly; immediately; in a hurry.",1610,JLPT.N0 gradeS,11,,
頬,キョウ　ほお　cheek,頬,cheek,"cheeks, jaw",,,ほお、 ほほ,kunyomi,,67,,,,"ほおcommon · ほほcommon 【頬 · 頰】cheek (of face) 例文
つらcommon 【面 · 頬】face (often derog. or vulg.);  mug;  → かお【顔】 例文 / surface 例文
ほほえむcommon 【微笑む · 頬笑む · ほほ笑む】to smile 例文
ほっぺたcommon 【頬っぺた · 頰っぺた · 頬っ辺 · 頰っ辺】cheek",,,,,頬(ほほ): cheek (of face)<br>頬っぺた(ほっぺた): cheek,夾: insert between<br>頁: page; leaf,,,(none),形声 Phonetic,"""Your cheeks contain your jawbones, which are known as the """"scissors of the head."""".""",The Joker from Batman had his cheeks cut with scissors to give him that eternal smile. Now the Joker isn't right in the head.,1358,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Body_Head.Neck,11,,
頷,"うなずく　あご　ガン　nod, chin, jaw",頷,nod approval,nod approval,,,うなず.く、 あご,kunyomi,,67,,,,,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,11,,
顎,"あご　chin, jaw",顎,chin,"jaw, chin, gill",,,あご、 あぎと,kunyomi,,67,,,,,,,,,顎(あご): chin; jaw,咢: outspokenly<br>頁: page; leaf,18,頁,(none),形声 Phonetic,Your chin is the part of your head under your nostrils that forms the double snare that is your jaw.,Left side is crocodile primative. crocodile´s head´s most prominent feature is his jaw.,1333,JLPT.N0 gradeS Kanji_Body_Head.Neck,11,,
餃,ギョウ　gyoza,餃,gyoza,gyoza,,ギョウ、 キョウ、 コウ,,onyomi,,67,,,,餃子　ぎょうざ　コウシ,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,11,,
餅,ヘイ　もち　rice cake,餅,mochi,mochi rice cake,,ヘイ、 ヒョウ,もち,kunyomi,,67,,,,,,,,,餅(もち): sticky rice cake,食: eat; food<br>并: put together,15,食,餠,形声 Phonetic,"Call your friend and he answers the phone ""Mochi, mochi!"" whatever he is eating sure is making it hard to understand. I will puzzle over the content of our conversation for some time to come.","Mochi ice cream is a puzzling food, I still have no idea how they get that ice cream in there, but it sure tastes good.",1590,JLPT.N0 gradeS kanjifreq2001-2500 Kanji_Food.Drink,11,,
餌,ジ　えさ　え　bait,餌,feed,"food, bait, prey, tempting profit",,,えさ、 え、 えば、 もち,kunyomi,,67,,,,,,,,,餌(えさ): feed; bait,食: eat; food<br>耳: ear,15,食,(none),形声 Phonetic,Food made of ears is animal feed.,Do you know Mike Tayson favorite feed? Ears! He eats ears!,1588,JLPT.N0 gradeS kanjifreq2001-2500,11,,
餡,アン　bean jam,餡,bean jam,bean jam,,アン、 カン,,onyomi,,67,,,,,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,11,,
饉,キン　hunger,饉,hunger,hunger,,キン,,onyomi,,67,,,,飢饉　ききん,,,,,,,,,,,,,,JLPT.N0 ShouldSuspend gradeS+,11,,
馴,"ジュン　な.れる　したが.う　get used to, tame",馴,tame,"get used to, experienced, tamed",,ジュン,な.れる、 な.らす、 したが.う,kunyomi,,67,,,,"ジュン        馴致【じゅんち】taming; gradual habituation; leading to
馴化【じゅんか】acclimation
雅馴【がじゅん】refined (prose, etc.)
なれなれしいcommon 【馴れ馴れしい · 馴々しい】over-familiar 例文
かおなじみcommon 【顔なじみ · 顔馴染 · 顔馴染み】acquaintance;  friend;  familiar face
ふなれcommon 【不慣れ · 不慣 · 不馴れ · 不馴】inexperienced;  unfamiliar (with);  unversed;  lacking experience 例文
なれっこcommon 【慣れっこ · 馴れっこ】being used to ...;  getting used to ...;  being accustomed to;  being conditioned to;  be familiar with 例文
みみなれるcommon 【耳慣れる · 耳馴れる】to be something familiar
つかいなれるcommon 【使い慣れる · 使いなれる · 使い馴れる】to get accustomed to using 例文",,,,,馴れ馴れしい(なれなれしい): over-familiar<br>馴らす(ならす): to domesticate; to tame,馬: horse<br>巛: curving river radical (no.47),,,(none),,"""The guy who said that you can take a horse to a river, but you can't make it drink obviously has never encountered a tame horse.""","""The process to getting a tame horse is a bit like getting a tame Christian - baptizization! you take it into the river at a young age (just after it's born is best) and dunk it in until it is almost drowned. Then at the last possible moment, when its life is flashing before its eyes (good baptizers know when this is), you pull it back above water. The first thing it sees is its """"rescuer"""" and """"savior"""", and it will be tame and follow you for the rest of its life.""",2822,JLPT.N0 ShouldSuspend gradeS+ jinmeiyou,11,,
骸,ガイ　むくろ　から　corpse,骸,remains,"bone, body, corpse",,ガイ、 カイ,むくろ,onyomi,,67,,,,"からcommon 【殻 · 骸】shell;  husk;  hull;  pod;  chaff 例文
むくろcommon 【躯 · 骸 · 身】(dead) body;  corpse 例文
がいこつcommon 【骸骨 · がい骨】skeleton 例文
なきがらcommon 【亡骸】remains;  corpse;  (dead) body 例文
けいがいcommon 【形骸】ruin;  wreck;  mere skeleton;  framework
しがいcommon 【死骸 · 屍骸】body;  corpse;  remains",,,,,,骨: skeleton; bone; remains; frame<br>亥: sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac,16,骨,(none),形声 Phonetic,The remains consisted of a skeleton which had the remains of some acorns in its stomach area. Whether it died from eating the acorns remains to be seen.,Hint: The remains of a chipmunk.,1641,JLPT.N0 gradeS Kanji_Body_Health.Illness,11,,
鬘,かつら　かずら　マン　wig,鬘,"wig, hair piece","wig, hair piece",,,かつら,kunyomi,,67,,,,"鬘　かつら
鬘　かずら",,,,,,,,,,,,,,,11,,
鯛,たい　sea bream,鯛,sea bream,"sea bream, red snapper",,,たい,kunyomi,,67,,,,"たいcommon【鯛】sea bream (Sparidae);  porgy;  —Usually written using kana alone. 例文
たいやき 【たい焼き · 鯛焼き · 鯛焼】fish-shaped pancake filled with bean jam",,,,,,魚: fish<br>周: circumference; circuit; lap,,,(none),,The sea bream （たい） is a fish that often goes around the circumference of a 回転寿司（かいてんずし） a number of たいmes.,Sea Bream (fish) found on the circumference of Australia and New Zealand waters.,2827,JLPT.N1 Kanji_Nature_Animal_Fish ShouldSuspend gradeS+ jinmeiyou kanjifreq2001-2500,11,,
